"category","icon_name"
"Business","Business-Products-treasure"
"beauty","beauty-barber-light-sign"
"beauty","beauty-beard-style"
"beauty-body-care","beauty-body-care-snail"
"beauty-body-care","beauty-body-care-sun-screen"
"beauty-cosmatic","beauty-cosmatic-brush-set"
"beauty-cosmatic","beauty-cosmatic-lip-stick"
"beauty","beauty-healthy-food-dish"
"beauty-mirror","beauty-mirror-1"
"beauty-mirror","beauty-mirror-2"
"beauty","beauty-nail-polish"
"beauty-perfume","beauty-perfume-1"
"beauty-perfume","beauty-perfume-2"
"building-real-eastate","building-real-eastate-deal-documant"
"building-real-eastate","building-real-eastate-for-sale"
"building-real-eastate-house","building-real-eastate-house-1"
"building-real-eastate-house","building-real-eastate-house-2"
"building-real-eastate","building-real-eastate-houses-location"
"building-real-eastate","building-real-eastate-location"
"building-real-eastate","building-real-eastate-project-blueprint"
"building-real-eastate-sign","building-real-eastate-sign-for-rent"
"building-real-eastate-sign-house","building-real-eastate-sign-house-1"
"building-real-eastate-sign-house","building-real-eastate-sign-house-2"
"building-real-eastate","building-real-eastate-storage"
"business","business-prodect-diamond"
"business-product","business-product-piggy-bank"
"business-product","business-product-price-tag"
"business-product","business-product-report-present-grahp"
"business-product","business-product-scale"
"business-product-startup","business-product-startup-1"
"business-product-startup","business-product-startup-2"
"business-product","business-product-target"
"business-products","business-products-bag"
"business-products-bag","business-products-bag-money"
"business-products","business-products-bag_1"
"business-products","business-products-boat-success"
"business-products-cash","business-products-cash-search"
"business-products-cash","business-products-cash-shield"
"business-products-cash","business-products-cash-user-man-message"
"business-products","business-products-climb-top"
"business-products","business-products-data-file-bars"
"business-products","business-products-deal-handshake"
"business-products","business-products-factory"
"business-products","business-products-magic-rabbit"
"business-products","business-products-network-user"
"business-products-performance-money","business-products-performance-money-decrease"
"business-products-performance-money","business-products-performance-money-increase"
"business-products","business-products-safe"
"business-products","business-products-wallet-money"
"change","change-clean-energy"
"chat","chat-email"
"coding","coding-app-website-ui"
"coding-apps-websites","coding-apps-websites-android"
"coding-apps-websites","coding-apps-websites-browser-bugs-2"
"coding-apps-websites","coding-apps-websites-conference"
"coding-apps-websites","coding-apps-websites-constuction"
"coding-apps-websites","coding-apps-websites-database"
"coding-apps-websites","coding-apps-websites-dinosaur-error"
"coding-apps-websites","coding-apps-websites-favorite-rate"
"coding-apps-websites","coding-apps-websites-finder"
"coding-apps-websites","coding-apps-websites-firewall"
"coding-apps-websites","coding-apps-websites-live-status"
"coding-apps-websites","coding-apps-websites-mobile"
"coding-apps-websites","coding-apps-websites-module"
"coding-apps-websites","coding-apps-websites-music-player"
"coding-apps-websites","coding-apps-websites-phone-tablet"
"coding-apps-websites","coding-apps-websites-plugin"
"coding-apps-websites-programming","coding-apps-websites-programming-browser-bugs-1"
"coding-apps-websites-programming","coding-apps-websites-programming-bug"
"coding-apps-websites","coding-apps-websites-search-bug"
"coding-apps-websites","coding-apps-websites-shield-lock"
"coding-apps-websites","coding-apps-websites-solves"
"computer-old","computer-old-electronics"
"computer-old-electronics","computer-old-electronics-bug"
"computers-devices-electronics","computers-devices-electronics-board"
"computers-devices-electronics","computers-devices-electronics-chipset"
"computers-devices-electronics","computers-devices-electronics-click-select-tablet"
"computers-devices-electronics","computers-devices-electronics-earpod-sound"
"computers-devices-electronics","computers-devices-electronics-flash-drive-2"
"computers-devices-electronics-graphic","computers-devices-electronics-graphic-tablet"
"computers-devices-electronics-graphic-tablet","computers-devices-electronics-graphic-tablet-draw"
"computers-devices-electronics","computers-devices-electronics-keyboard"
"computers-devices-electronics-keyboard","computers-devices-electronics-keyboard-button"
"computers-devices-electronics-keyboard","computers-devices-electronics-keyboard-pad"
"computers-devices-electronics-keyboard","computers-devices-electronics-keyboard-wireless"
"computers-devices-electronics","computers-devices-electronics-laptop"
"computers-devices-electronics","computers-devices-electronics-memory"
"computers-devices-electronics","computers-devices-electronics-mobile-qr-scan"
"computers-devices-electronics","computers-devices-electronics-monitor"
"computers-devices-electronics","computers-devices-electronics-mouse"
"computers-devices-electronics","computers-devices-electronics-smart-watch"
"computers-devices-electronics","computers-devices-electronics-tablet"
"computers-devices-electronics","computers-devices-electronics-vintage-mac"
"computers-devices-electronics","computers-devices-electronics-webcam"
"computers-devices","computers-devices-electronicsmicrochip-board"
"construction","construction-building-real-eastate"
"content-files","content-files-book"
"content-files-book","content-files-book-library"
"content-files-books","content-files-books-1"
"content-files-books","content-files-books-2"
"content-files","content-files-close-book-bookmark"
"content-files","content-files-draw-content"
"content-files","content-files-favorite-book"
"content-files","content-files-newspaper"
"content-files","content-files-note-book"
"content-files-open","content-files-open-book"
"content-files-open-book","content-files-open-book-bookmark"
"content-files","content-files-pdf"
"content-files","content-files-pen"
"content-files-pencil","content-files-pencil-brush"
"content-files-pencil","content-files-pencil-ruler"
"content-files","content-files-phone-book"
"content-files","content-files-quill-ink"
"content-files","content-files-typing-machine"
"content-files","content-files-write-note"
"cursor","cursor-hand"
"design","design-artboard-shapes"
"design-color","design-color-brush-paint"
"design-color","design-color-bucket"
"design-color-bucket","design-color-bucket-brush"
"design-color","design-color-painting-palette"
"design-color","design-color-palette-sample"
"design-color","design-color-spray"
"design-color","design-color-tube-pastel"
"design","design-crop-edit-picture"
"design","design-drawing-board"
"design-dropper","design-dropper-1"
"design-dropper","design-dropper-2"
"design","design-half-circle-ruler"
"design","design-hilight"
"design","design-ink-pen"
"design","design-layer"
"design","design-magic-wand"
"design","design-ruler"
"design","design-stamp"
"design","design-vectors-pen-new-anchor"
"ecology","ecology-bush"
"ecology","ecology-cactus"
"ecology","ecology-clean-battery"
"ecology-global","ecology-global-house"
"ecology-global-warming","ecology-global-warming-globe"
"ecology-global-warming-globe","ecology-global-warming-globe-fire"
"ecology","ecology-gmo-food-fruit"
"ecology","ecology-growth-plant"
"ecology","ecology-leaf-bug"
"ecology","ecology-nuclear-energy"
"ecology","ecology-plant-growth-soil-nature"
"ecology-renewable-energy","ecology-renewable-energy-solar-panel"
"ecology-renewable-energy","ecology-renewable-energy-wind-turbine"
"ecology","ecology-solar-cell"
"ecology","ecology-tree"
"ecology-windmill","ecology-windmill-1"
"ecology-windmill","ecology-windmill-2"
"ecology","ecology-wood-plant-grow"
"email","email-emoji-smile-smart"
"email","email-envelope"
"email","email-forward-mail"
"email-mail","email-mail-chat"
"email-mail","email-mail-open-address"
"email","email-mailbox"
"email-mailbox","email-mailbox-close"
"email-mailbox","email-mailbox-open"
"email","email-stamp-mail"
"email","email-tray"
"entertainment-events-hobbies","entertainment-events-hobbies-board-game-dice"
"entertainment-events-hobbies","entertainment-events-hobbies-bomb"
"entertainment-events-hobbies","entertainment-events-hobbies-card-game-card-club"
"entertainment-events-hobbies-chess","entertainment-events-hobbies-chess-knight"
"entertainment-events-hobbies-chess","entertainment-events-hobbies-chess-pawn"
"entertainment-events-hobbies-chess","entertainment-events-hobbies-chess-rook"
"entertainment-events-hobbies","entertainment-events-hobbies-game-pool-snooker-ball"
"entertainment-events-hobbies","entertainment-events-hobbies-glasses-3d"
"entertainment-events-hobbies","entertainment-events-hobbies-horror-ghost"
"entertainment-events-hobbies","entertainment-events-hobbies-popcorn"
"entertainment-events-hobbies","entertainment-events-hobbies-reward-winner-talent"
"entertainment-events-hobbies","entertainment-events-hobbies-ticket"
"entertainment-events-hobbies-video-camera-film","entertainment-events-hobbies-video-camera-film-1"
"entertainment-events-hobbies-video-camera-film","entertainment-events-hobbies-video-camera-film-2"
"entertainment-events-hobbies-video-camera-film","entertainment-events-hobbies-video-camera-film-3"
"entertainment-events-hobbies-video","entertainment-events-hobbies-video-movie-producer-director-chair"
"food-drink","food-drink-bread"
"food-drink","food-drink-coffee"
"food-drink-coffee","food-drink-coffee-cup"
"food-drink-desert","food-drink-desert-cake"
"food-drink-desert-cake","food-drink-desert-cake-pond"
"food-drink-desert","food-drink-desert-cotton-candy"
"food-drink-desert","food-drink-desert-cupcake"
